function,method,seed,evals,n_optima,n_reported,pr_1e-1,pr_1e-2,pr_1e-3,pr_1e-4,pr_1e-5
N08-Shubert3D,NMMSO,0,40000,81,162,0.1111,0.0370,0.0123,0.0123,0.0123
N08-Shubert3D,NMMSO,1,40000,81,149,0.1852,0.1605,0.1235,0.0741,0.0494
N08-Shubert3D,NMMSO,2,40000,81,146,0.2963,0.2099,0.1481,0.0617,0.0247
N08-Shubert3D,NCDE,0,40000,81,30,0.3086,0.3086,0.3086,0.2469,0.0247
N08-Shubert3D,NCDE,1,40000,81,30,0.1358,0.0494,0.0247,0.0000,0.0000
N08-Shubert3D,NCDE,2,40000,81,30,0.3210,0.3210,0.3210,0.3210,0.3210
N08-Shubert3D,NM-Restart,0,40000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,1,40000,81,16,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,2,40000,81,3,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,r3pso,0,40000,81,30,0.0494,0.0494,0.0494,0.0494,0.0494
N08-Shubert3D,r3pso,1,40000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,2,40000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,MC-ESO,0,80000,81,139,0.6173,0.5926,0.1975,0.0123,0.0123
N08-Shubert3D,MC-ESO,1,80000,81,136,0.5185,0.5062,0.1728,0.0247,0.0123
N08-Shubert3D,MC-ESO,2,80000,81,136,0.5556,0.5556,0.2963,0.0247,0.0123
N08-Shubert3D,NMMSO,0,80000,81,162,0.6543,0.6049,0.5679,0.4568,0.4321
N08-Shubert3D,NMMSO,1,80000,81,162,0.5679,0.5185,0.4568,0.3704,0.2469
N08-Shubert3D,NMMSO,2,80000,81,162,0.5802,0.5432,0.5309,0.4568,0.3704
N08-Shubert3D,NCDE,0,80000,81,30,0.3210,0.3210,0.3210,0.3210,0.3210
N08-Shubert3D,NCDE,1,80000,81,30,0.1975,0.1111,0.1111,0.1111,0.1111
N08-Shubert3D,NCDE,2,80000,81,30,0.3333,0.3333,0.3333,0.3333,0.3333
N08-Shubert3D,NM-Restart,0,80000,81,2,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,1,80000,81,16,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,NM-Restart,2,80000,81,3,0.0000,0.0000,0.0000,0.0000,0.0000
N08-Shubert3D,r3pso,0,80000,81,30,0.0494,0.0494,0.0494,0.0494,0.0494
N08-Shubert3D,r3pso,1,80000,81,30,0.0617,0.0617,0.0617,0.0617,0.0617
N08-Shubert3D,r3pso,2,80000,81,30,0.0741,0.0617,0.0617,0.0617,0.0617
N09-Vincent3D,MC-ESO,0,8000,216,35,0.0370,0.0370,0.0370,0.0370,0.0370
N09-Vincent3D,MC-ESO,1,8000,216,33,0.0509,0.0231,0.0231,0.0231,0.0231
N09-Vincent3D,MC-ESO,2,8000,216,35,0.0370,0.0370,0.0324,0.0324,0.0278
N09-Vincent3D,NMMSO,0,8000,216,62,0.2500,0.2176,0.1574,0.0972,0.0648
N09-Vincent3D,NMMSO,1,8000,216,53,0.2361,0.2083,0.1574,0.1157,0.0833
N09-Vincent3D,NMMSO,2,8000,216,48,0.2037,0.1944,0.1713,0.1343,0.1204
N09-Vincent3D,NCDE,0,8000,216,30,0.1204,0.0926,0.0417,0.0000,0.0000
N09-Vincent3D,NCDE,1,8000,216,30,0.1019,0.0972,0.0648,0.0278,0.0185
N09-Vincent3D,NCDE,2,8000,216,30,0.1204,0.0972,0.0417,0.0139,0.0093
N09-Vincent3D,NM-Restart,0,8000,216,29,0.0880,0.0880,0.0880,0.0880,0.0880
N09-Vincent3D,NM-Restart,1,8000,216,29,0.0926,0.0926,0.0926,0.0926,0.0926
N09-Vincent3D,NM-Restart,2,8000,216,29,0.0972,0.0972,0.0972,0.0972,0.0972
N09-Vincent3D,r3pso,0,8000,216,30,0.0463,0.0370,0.0231,0.0185,0.0185
N09-Vincent3D,r3pso,1,8000,216,30,0.0231,0.0231,0.0231,0.0231,0.0185
N09-Vincent3D,r3pso,2,8000,216,30,0.0278,0.0278,0.0278,0.0231,0.0231
N09-Vincent3D,MC-ESO,0,20000,216,54,0.0833,0.0833,0.0833,0.0787,0.0741
N09-Vincent3D,MC-ESO,1,20000,216,55,0.0509,0.0509,0.0509,0.0509,0.0509
N09-Vincent3D,MC-ESO,2,20000,216,54,0.0648,0.0648,0.0648,0.0648,0.0602
N09-Vincent3D,NMMSO,0,20000,216,86,0.3935,0.3889,0.3750,0.3009,0.2361
N09-Vincent3D,NMMSO,1,20000,216,79,0.3519,0.3333,0.3056,0.2778,0.2407
N09-Vincent3D,NMMSO,2,20000,216,78,0.3519,0.3426,0.3426,0.3148,0.2778
N09-Vincent3D,NCDE,0,20000,216,30,0.1157,0.1157,0.1157,0.0972,0.0370
N09-Vincent3D,NCDE,1,20000,216,30,0.0972,0.0972,0.0972,0.0880,0.0741
N09-Vincent3D,NCDE,2,20000,216,30,0.1204,0.1065,0.0833,0.0602,0.0509
N09-Vincent3D,NM-Restart,0,20000,216,71,0.1759,0.1759,0.1759,0.1759,0.1713
N09-Vincent3D,NM-Restart,1,20000,216,72,0.1481,0.1481,0.1481,0.1481,0.1481
N09-Vincent3D,NM-Restart,2,20000,216,72,0.1620,0.1620,0.1620,0.1620,0.1620
N09-Vincent3D,r3pso,0,20000,216,30,0.0324,0.0324,0.0278,0.0231,0.0231
N09-Vincent3D,r3pso,1,20000,216,30,0.0231,0.0231,0.0231,0.0231,0.0185
N09-Vincent3D,r3pso,2,20000,216,30,0.0278,0.0278,0.0278,0.0231,0.0231
N09-Vincent3D,MC-ESO,0,40000,216,87,0.1204,0.1204,0.1204,0.1157,0.1111
N09-Vincent3D,MC-ESO,1,40000,216,90,0.1435,0.1019,0.1019,0.0880,0.0833
N09-Vincent3D,MC-ESO,2,40000,216,86,0.1111,0.1111,0.1065,0.1019,0.0972
N09-Vincent3D,NMMSO,0,40000,216,103,0.4722,0.4722,0.4630,0.4444,0.4120
N09-Vincent3D,NMMSO,1,40000,216,114,0.5185,0.5185,0.5093,0.5093,0.4907
N09-Vincent3D,NMMSO,2,40000,216,86,0.3889,0.3843,0.3843,0.3750,0.3611
N09-Vincent3D,NCDE,0,40000,216,30,0.1157,0.1157,0.1157,0.1111,0.1111
N09-Vincent3D,NCDE,1,40000,216,30,0.0972,0.0972,0.0972,0.0972,0.0972
N09-Vincent3D,NCDE,2,40000,216,30,0.1157,0.1111,0.1111,0.0972,0.0833
N09-Vincent3D,NM-Restart,0,40000,216,141,0.2407,0.2407,0.2407,0.2407,0.2407
N09-Vincent3D,NM-Restart,1,40000,216,142,0.2454,0.2454,0.2454,0.2454,0.2454
N09-Vincent3D,NM-Restart,2,40000,216,143,0.2546,0.2546,0.2546,0.2546,0.2546
N09-Vincent3D,r3pso,0,40000,216,30,0.0324,0.0324,0.0278,0.0231,0.0231
N09-Vincent3D,r3pso,1,40000,216,30,0.0185,0.0185,0.0185,0.0185,0.0185
N09-Vincent3D,r3pso,2,40000,216,30,0.0278,0.0278,0.0278,0.0231,0.0231
N09-Vincent3D,MC-ESO,0,80000,216,155,0.1528,0.1481,0.1481,0.1435,0.1435
N09-Vincent3D,MC-ESO,1,80000,216,161,0.1713,0.1713,0.1713,0.1528,0.1481
N09-Vincent3D,MC-ESO,2,80000,216,151,0.1991,0.1806,0.1667,0.1528,0.1481
N09-Vincent3D,NMMSO,0,80000,216,164,0.7407,0.7222,0.6991,0.6713,0.6620
N09-Vincent3D,NMMSO,1,80000,216,136,0.6204,0.6204,0.6204,0.6204,0.6157
N09-Vincent3D,NMMSO,2,80000,216,154,0.6991,0.6898,0.6852,0.6713,0.6713
N09-Vincent3D,NCDE,0,80000,216,30,0.1157,0.1157,0.1157,0.1111,0.1111
N09-Vincent3D,NCDE,1,80000,216,30,0.0972,0.0972,0.0972,0.0972,0.0972
N09-Vincent3D,NCDE,2,80000,216,30,0.1111,0.1111,0.1111,0.1111,0.1111
N09-Vincent3D,NM-Restart,0,80000,216,285,0.3519,0.3519,0.3519,0.3519,0.3519
N09-Vincent3D,NM-Restart,1,80000,216,285,0.3333,0.3333,0.3333,0.3333,0.3333
N09-Vincent3D,NM-Restart,2,80000,216,286,0.3565,0.3565,0.3565,0.3565,0.3565
N09-Vincent3D,r3pso,0,80000,216,30,0.0324,0.0324,0.0278,0.0231,0.0231
N09-Vincent3D,r3pso,1,80000,216,30,0.0185,0.0185,0.0185,0.0185,0.0185
N09-Vincent3D,r3pso,2,80000,216,30,0.0278,0.0278,0.0278,0.0231,0.0231
